index,align_timestamp
0,"[5401.602  5401.602  5401.702  5401.8022 5401.9023 5402.0024 5402.102
 5402.202  5402.3022 5402.4023 5402.5024 5402.602  5402.702  5402.8022
 5402.9023 5403.0024]"
1,"[5401.602  5401.702  5401.8022 5401.9023 5402.0024 5402.102  5402.202
 5402.3022 5402.4023 5402.5024 5402.602  5402.702  5402.8022 5402.9023
 5403.0024 5403.102 ]"
2,"[5401.702  5401.8022 5401.9023 5402.0024 5402.102  5402.202  5402.3022
 5402.4023 5402.5024 5402.602  5402.702  5402.8022 5402.9023 5403.0024
 5403.102  5403.202 ]"
3,"[5401.8022 5401.9023 5402.0024 5402.102  5402.202  5402.3022 5402.4023
 5402.5024 5402.602  5402.702  5402.8022 5402.9023 5403.0024 5403.102
 5403.202  5403.3022]"
4,"[5401.9023 5402.0024 5402.102  5402.202  5402.3022 5402.4023 5402.5024
 5402.602  5402.702  5402.8022 5402.9023 5403.0024 5403.102  5403.202
 5403.3022 5403.3022]"
5,"[5402.0024 5402.102  5402.202  5402.3022 5402.4023 5402.5024 5402.602
 5402.702  5402.8022 5402.9023 5403.0024 5403.102  5403.202  5403.3022
 5403.3022 5403.4023]"
6,"[5402.102  5402.202  5402.3022 5402.4023 5402.5024 5402.602  5402.702
 5402.8022 5402.9023 5403.0024 5403.102  5403.202  5403.3022 5403.3022
 5403.4023 5403.5024]"
7,"[5402.202  5402.3022 5402.4023 5402.5024 5402.602  5402.702  5402.8022
 5402.9023 5403.0024 5403.102  5403.202  5403.3022 5403.3022 5403.4023
 5403.5024 5403.602 ]"
8,"[5402.3022 5402.4023 5402.5024 5402.602  5402.702  5402.8022 5402.9023
 5403.0024 5403.102  5403.202  5403.3022 5403.3022 5403.4023 5403.5024
 5403.602  5403.702 ]"
9,"[5402.4023 5402.5024 5402.602  5402.702  5402.8022 5402.9023 5403.0024
 5403.102  5403.202  5403.3022 5403.3022 5403.4023 5403.5024 5403.602
 5403.702  5403.8022]"
10,"[5402.5024 5402.602  5402.702  5402.8022 5402.9023 5403.0024 5403.102
 5403.202  5403.3022 5403.3022 5403.4023 5403.5024 5403.602  5403.702
 5403.8022 5403.9023]"
11,"[5402.602  5402.702  5402.8022 5402.9023 5403.0024 5403.102  5403.202
 5403.3022 5403.3022 5403.4023 5403.5024 5403.602  5403.702  5403.8022
 5403.9023 5404.0024]"
12,"[5402.702  5402.8022 5402.9023 5403.0024 5403.102  5403.202  5403.3022
 5403.3022 5403.4023 5403.5024 5403.602  5403.702  5403.8022 5403.9023
 5404.0024 5404.102 ]"
13,"[5402.8022 5402.9023 5403.0024 5403.102  5403.202  5403.3022 5403.3022
 5403.4023 5403.5024 5403.602  5403.702  5403.8022 5403.9023 5404.0024
 5404.102  5404.202 ]"
14,"[5402.9023 5403.0024 5403.102  5403.202  5403.3022 5403.3022 5403.4023
 5403.5024 5403.602  5403.702  5403.8022 5403.9023 5404.0024 5404.102
 5404.202  5404.3022]"
15,"[5403.0024 5403.102  5403.202  5403.3022 5403.3022 5403.4023 5403.5024
 5403.602  5403.702  5403.8022 5403.9023 5404.0024 5404.102  5404.202
 5404.3022 5404.4023]"
16,"[5403.102  5403.202  5403.3022 5403.3022 5403.4023 5403.5024 5403.602
 5403.702  5403.8022 5403.9023 5404.0024 5404.102  5404.202  5404.3022
 5404.4023 5404.5024]"
17,"[5403.202  5403.3022 5403.3022 5403.4023 5403.5024 5403.602  5403.702
 5403.8022 5403.9023 5404.0024 5404.102  5404.202  5404.3022 5404.4023
 5404.5024 5404.602 ]"
18,"[5403.3022 5403.3022 5403.4023 5403.5024 5403.602  5403.702  5403.8022
 5403.9023 5404.0024 5404.102  5404.202  5404.3022 5404.4023 5404.5024
 5404.602  5404.702 ]"
