index,align_timestamp,robot_timestamp,capture_time
0,5456.80719133,5456.805768976,5442832.0
1,5456.838571283,5456.836195386,5442865.0
2,5456.871720082,5456.866405098,5442899.0
3,5456.911624453,5456.907010297,5442932.0
4,5456.94083154,5456.937350655,5442965.0
5,5456.971519562,5456.967858979,5442998.0
6,5457.005239906,5457.003238853,5443032.0
7,5457.037905867,5457.033811508,5443065.0
8,5457.071097186,5457.069517796,5443098.0
9,5457.105473022,5457.105072819,5443131.0
10,5457.137715206,5457.135738419,5443164.0
11,5457.170945768,5457.166005038,5443198.0
12,5457.204263214,5457.201519405,5443231.0
13,5457.239603584,5457.237180828,5443264.0
14,5457.270519564,5457.267436548,5443297.0
15,5457.311702099,5457.307994297,5443331.0
16,5457.339479688,5457.338569627,5443364.0
17,5457.370196304,5457.368985517,5443397.0
18,5457.403713997,5457.399436684,5443430.0
19,5457.436980036,5457.435172788,5443464.0
20,5457.472719726,5457.470651748,5443497.0
21,5457.503608365,5457.50108998,5443530.0
22,5457.536512504,5457.536447853,5443563.0
23,5457.571889372,5457.56679307,5443596.0
24,5457.60330383,5457.602422974,5443630.0
25,5457.636028431,5457.63290047,5443663.0
26,5457.669532158,5457.668552265,5443696.0
27,5457.712394851,5457.709212117,5443729.0
28,5457.745054631,5457.744786126,5443763.0
29,5457.776447398,5457.775416439,5443796.0
30,5457.802714247,5457.800681675,5443829.0
31,5457.835737199,5457.831043754,5443862.0
32,5457.868753659,5457.866482589,5443896.0
33,5457.901927154,5457.896836933,5443929.0
34,5457.93677076,5457.932439866,5443962.0
35,5457.969229321,5457.968093836,5443995.0
36,5458.003365045,5457.998605536,5444029.0
37,5458.035792277,5458.034590007,5444062.0
38,5458.069689333,5458.064909586,5444095.0
39,5458.102242853,5458.100583372,5444128.0
40,5458.136122716,5458.131101214,5444161.0
41,5458.168387473,5458.166491357,5444195.0
42,5458.203964417,5458.202337969,5444228.0
43,5458.235111492,5458.232438496,5444261.0
44,5458.269233351,5458.268113956,5444294.0
45,5458.302330983,5458.298406224,5444328.0
46,5458.335300856,5458.334339137,5444361.0
47,5458.369636145,5458.36496376,5444394.0
48,5458.403091571,5458.400161051,5444427.0
49,5458.43475121,5458.430351958,5444461.0
50,5458.468415027,5458.465798507,5444494.0
51,5458.500849743,5458.49634354,5444527.0
52,5458.534348911,5458.532013159,5444560.0
53,5458.567871011,5458.56748188,5444593.0
54,5458.600961591,5458.59805197,5444627.0
55,5458.633526452,5458.628535838,5444660.0
56,5458.665954315,5458.664205336,5444693.0
57,5458.704672005,5458.699766421,5444726.0
58,5458.733866869,5458.730190667,5444760.0
59,5458.766125685,5458.765784603,5444793.0
60,5458.799234448,5458.797163154,5444826.0
61,5458.831886713,5458.827340024,5444859.0
62,5458.865285883,5458.862836518,5444892.0
63,5458.898653243,5458.893416226,5444926.0
64,5458.931718154,5458.929268428,5444959.0
65,5458.964826427,5458.964573852,5444992.0
66,5458.998425482,5458.995145585,5445025.0
67,5459.031410753,5459.027739971,5445059.0
68,5459.064427584,5459.063173837,5445092.0
69,5459.097615016,5459.093576382,5445125.0
