index,align_timestamp,robot_timestamp,capture_time
0,6790.101914402,6790.099116737,6588442.0
1,6790.136812146,6790.134646154,6588475.0
2,6790.170982914,6790.169981997,6588509.0
3,6790.202016625,6790.200645348,6588542.0
4,6790.234114399,6790.231437522,6588575.0
5,6790.267404107,6790.2633217,6588608.0
6,6790.300656195,6790.29899835,6588642.0
7,6790.341039476,6790.339460417,6588675.0
8,6790.367155965,6790.364864963,6588708.0
9,6790.400311089,6790.395247513,6588741.0
10,6790.441616385,6790.441308673,6588775.0
11,6790.466717957,6790.461847458,6588808.0
12,6790.49999805,6790.497376208,6588841.0
13,6790.533330031,6790.532537751,6588874.0
14,6790.566465093,6790.563290918,6588907.0
15,6790.599617411,6790.598690604,6588941.0
16,6790.633048382,6790.629027991,6588974.0
17,6790.666045126,6790.664369995,6589007.0
18,6790.699284152,6790.694688002,6589040.0
19,6790.732509357,6790.730220253,6589074.0
20,6790.765647639,6790.761152729,6589107.0
21,6790.798862726,6790.798096152,6589140.0
22,6790.832314251,6790.828367804,6589173.0
23,6790.865500995,6790.863644611,6589206.0
24,6790.898946369,6790.893921127,6589240.0
25,6790.931832673,6790.929275006,6589273.0
26,6790.965082739,6790.964669085,6589306.0
27,6790.998462926,6790.995017617,6589339.0
28,6791.031577965,6791.030941258,6589373.0
29,6791.064755419,6791.061327464,6589406.0
30,6791.098099742,6791.093645971,6589439.0
31,6791.131237006,6791.128999761,6589472.0
32,6791.164537743,6791.164436799,6589505.0
33,6791.197697565,6791.194757214,6589539.0
34,6791.232195948,6791.23012079,6589572.0
35,6791.264106355,6791.26128339,6589605.0
36,6791.30761458,6791.307368252,6589638.0
37,6791.340045968,6791.337742016,6589672.0
38,6791.37734218,6791.373479268,6589705.0
39,6791.406756319,6791.40394991,6589738.0
40,6791.440446235,6791.439451903,6589771.0
41,6791.465893152,6791.464935175,6589805.0
42,6791.497350017,6791.496024663,6589838.0
43,6791.532719812,6791.531784988,6589871.0
44,6791.563742525,6791.562436897,6589904.0
45,6791.596957694,6791.593435818,6589937.0
46,6791.630195214,6791.629015139,6589971.0
47,6791.663411167,6791.659573495,6590004.0
48,6791.696667995,6791.69529723,6590037.0
49,6791.729859702,6791.727730627,6590070.0
50,6791.772205004,6791.767323996,6590103.0
51,6791.798004099,6791.797537385,6590137.0
52,6791.829678356,6791.828004099,6590170.0
53,6791.872449787,6791.868501641,6590203.0
54,6791.898145638,6791.893729932,6590236.0
55,6791.929330278,6791.924297773,6590270.0
56,6791.962410783,6791.959915126,6590303.0
57,6791.995663002,6791.991761586,6590336.0
58,6792.028867431,6792.028243643,6590369.0
59,6792.062284971,6792.058719659,6590402.0
60,6792.096558386,6792.094280027,6590436.0
61,6792.128937251,6792.124520962,6590469.0
62,6792.164161779,6792.159969908,6590502.0
63,6792.195448834,6792.19246507,6590535.0
64,6792.230449152,6792.226917211,6590569.0
65,6792.261533409,6792.257339161,6590602.0
66,6792.294682199,6792.292935113,6590635.0
67,6792.327920659,6792.323293021,6590668.0
68,6792.361150605,6792.358665229,6590702.0
69,6792.394410733,6792.394066203,6590735.0
70,6792.427631625,6792.424504206,6590768.0
71,6792.460786499,6792.460225989,6590801.0
72,6792.495262882,6792.491112647,6590834.0
73,6792.526616606,6792.521764648,6590868.0
74,6792.571866414,6792.567478771,6590901.0
75,6792.602796875,6792.598703763,6590934.0
76,6792.636568599,6792.634328252,6590967.0
77,6792.662903061,6792.65984041,6591001.0
78,6792.694642718,6792.69071673,6591034.0
79,6792.725954263,6792.721198211,6591067.0
80,6792.760790135,6792.757453768,6591100.0
81,6792.792886676,6792.788203688,6591134.0
82,6792.8256643,6792.823687193,6591167.0
83,6792.858883466,6792.854189534,6591200.0
84,6792.892523044,6792.889752179,6591233.0
85,6792.925353942,6792.920530879,6591266.0
86,6792.958600162,6792.956193859,6591300.0
87,6792.991939205,6792.986896239,6591333.0
88,6793.024933244,6793.022417338,6591366.0
89,6793.058201867,6793.057819224,6591399.0
90,6793.101077236,6793.099081247,6591433.0
91,6793.124560298,6793.124327609,6591466.0
92,6793.157868556,6793.154632873,6591499.0
93,6793.19133922,6793.190028781,6591532.0
94,6793.224265853,6793.220346016,6591565.0
95,6793.257504197,6793.257181304,6591599.0
96,6793.290879218,6793.288105929,6591632.0
97,6793.324046246,6793.323601863,6591665.0
98,6793.357265592,6793.354171423,6591698.0
99,6793.390481186,6793.389752332,6591732.0
100,6793.423797243,6793.420007818,6591765.0
101,6793.456874858,6793.456415473,6591798.0
102,6793.490136679,6793.488146889,6591831.0
103,6793.523315983,6793.522254883,6591864.0
104,6793.556544643,6793.55254391,6591898.0
105,6793.589814775,6793.588313037,6591931.0
106,6793.623215133,6793.61855967,6591964.0
107,6793.656288495,6793.654044886,6591997.0
108,6793.689558172,6793.684835095,6592031.0
109,6793.722868262,6793.720176417,6592064.0
110,6793.75615739,6793.755435497,6592097.0
111,6793.789172365,6793.786844234,6592130.0
112,6793.822387818,6793.822298139,6592164.0
113,6793.855628403,6793.852624937,6592197.0
114,6793.888899017,6793.888394879,6592230.0
115,6793.922198662,6793.91864726,6592263.0
116,6793.955494821,6793.953976549,6592296.0
117,6793.988412425,6793.984317652,6592330.0
118,6794.031782786,6794.029728285,6592363.0
119,6794.06724607,6794.065132153,6592396.0
120,6794.090947151,6794.085876416,6592429.0
121,6794.128632663,6794.127402316,6592463.0
122,6794.16784416,6794.167713263,6592496.0
123,6794.197474722,6794.192829709,6592529.0
124,6794.228850951,6794.228387328,6592562.0
125,6794.261560593,6794.259014207,6592596.0
126,6794.290454499,6794.289437226,6592629.0
127,6794.322029635,6794.319696478,6592662.0
128,6794.356234819,6794.355151674,6592695.0
129,6794.387161919,6794.381242893,6592728.0
130,6794.420341541,6794.41721065,6592762.0
131,6794.454386252,6794.452917244,6592795.0
132,6794.491661405,6794.48793696,6592828.0
133,6794.529665227,6794.529099661,6592861.0
134,6794.561551246,6794.55963718,6592895.0
135,6794.596303705,6794.595054439,6592928.0
136,6794.629914245,6794.628363731,6592961.0
137,6794.662118679,6794.658755695,6592994.0
138,6794.696507538,6794.694227201,6593027.0
139,6794.728935523,6794.724793242,6593061.0
140,6794.762122662,6794.762023853,6593094.0
141,6794.792673711,6794.791474318,6593127.0
142,6794.819166667,6794.817867865,6593160.0
143,6794.852264417,6794.847952698,6593194.0
144,6794.893370659,6794.888408257,6593227.0
145,6794.918710336,6794.918690185,6593260.0
146,6794.952086214,6794.9490595,6593293.0
147,6794.993988823,6794.989447402,6593327.0
148,6795.018387552,6795.014690185,6593360.0
149,6795.051658761,6795.050068295,6593393.0
150,6795.091553146,6795.091152299,6593426.0
151,6795.118177384,6795.11765457,6593459.0
152,6795.151378437,6795.147670471,6593493.0
153,6795.191604516,6795.188108622,6593526.0
154,6795.217793092,6795.213370447,6593559.0
155,6795.251073014,6795.248757495,6593592.0
156,6795.28597966,6795.284186396,6593626.0
