index,align_timestamp
0,[5401.507 5401.507]
1,[5401.507  5401.6064]
2,[5401.6064 5401.706 ]
3,[5401.706  5401.8057]
4,[5401.8057 5401.908 ]
5,[5401.908 5402.006]
6,[5402.006  5402.1064]
7,[5402.1064 5402.2056]
8,[5402.2056 5402.304 ]
9,[5402.304 5402.405]
10,[5402.405 5402.505]
11,[5402.505  5402.6035]
12,[5402.6035 5402.7036]
13,[5402.7036 5402.8037]
14,[5402.8037 5402.9053]
15,[5402.9053 5403.0034]
16,[5403.0034 5403.1045]
17,[5403.1045 5403.2026]
18,[5403.2026 5403.3013]
19,[5403.3013 5403.402 ]
20,[5403.402  5403.5005]
21,[5403.5005 5403.6   ]
22,[5403.6   5403.701]
23,[5403.701  5403.8003]
24,[5403.8003 5403.902 ]
25,[5403.902 5403.999]
26,[5403.999  5404.1006]
27,[5404.1006 5404.198 ]
28,[5404.198 5404.3  ]
29,[5404.3   5404.399]
30,[5404.399  5404.4976]
31,[5404.4976 5404.598 ]
32,[5404.598 5404.698]
33,[5404.698  5404.7974]
34,[5404.7974 5404.897 ]
35,[5404.897  5404.9985]
36,[5404.9985 5405.0957]
37,[5405.0957 5405.1973]
38,[5405.1973 5405.2964]
39,[5405.2964 5405.395 ]
40,[5405.395  5405.4946]
41,[5405.4946 5405.594 ]
42,[5405.594 5405.694]
43,[5405.694  5405.7944]
44,[5405.7944 5405.8936]
45,[5405.8936 5405.9946]
46,[5405.9946 5406.0967]
47,[5406.0967 5406.194 ]
48,[5406.194  5406.2935]
49,[5406.2935 5406.3926]
50,[5406.3926 5406.493 ]
51,[5406.493  5406.5923]
52,[5406.5923 5406.6924]
53,[5406.6924 5406.7915]
54,[5406.7915 5406.8916]
55,[5406.8916 5406.9907]
56,[5406.9907 5407.0913]
57,[5407.0913 5407.191 ]
58,[5407.191 5407.291]
59,[5407.291 5407.39 ]
60,[5407.39 5407.49]
61,[5407.49   5407.5894]
62,[5407.5894 5407.6895]
63,[5407.6895 5407.7886]
64,[5407.7886 5407.89  ]
65,[5407.89  5407.989]
66,[5407.989  5408.0894]
67,[5408.0894 5408.1875]
68,[5408.1875 5408.288 ]
69,[5408.288  5408.3867]
70,[5408.3867 5408.4873]
71,[5408.4873 5408.587 ]
72,[5408.587  5408.6865]
73,[5408.6865 5408.786 ]
74,[5408.786  5408.8857]
75,[5408.8857 5408.985 ]
76,[5408.985  5409.0835]
77,[5409.0835 5409.1836]
78,[5409.1836 5409.283 ]
79,[5409.283 5409.383]
80,[5409.383  5409.4844]
81,[5409.4844 5409.583 ]
82,[5409.583 5409.682]
83,[5409.682  5409.7827]
84,[5409.7827 5409.8823]
85,[5409.8823 5409.981 ]
86,[5409.981  5410.0825]
87,[5410.0825 5410.1816]
88,[5410.1816 5410.2803]
89,[5410.2803 5410.38  ]
90,[5410.38   5410.4814]
91,[5410.4814 5410.5796]
92,[5410.5796 5410.679 ]
93,[5410.679 5410.78 ]
94,[5410.78  5410.879]
95,[5410.879 5410.978]
96,[5410.978  5411.0776]
97,[5411.0776 5411.188 ]
98,[5411.188  5411.3003]
99,[5411.3003 5411.379 ]
100,[5411.379  5411.4785]
101,[5411.4785 5411.5776]
102,[5411.5776 5411.6777]
103,[5411.6777 5411.777 ]
104,[5411.777 5411.877]
105,[5411.877 5411.976]
106,[5411.976  5412.0767]
107,[5412.0767 5412.175 ]
108,[5412.175  5412.2744]
109,[5412.2744 5412.375 ]
110,[5412.375  5412.4756]
111,[5412.4756 5412.575 ]
112,[5412.575 5412.675]
113,[5412.675  5412.7744]
114,[5412.7744 5412.874 ]
115,[5412.874 5412.973]
116,[5412.973  5413.0737]
117,[5413.0737 5413.173 ]
118,[5413.173 5413.273]
119,[5413.273 5413.372]
120,[5413.372 5413.472]
121,[5413.472  5413.5723]
122,[5413.5723 5413.6724]
123,[5413.6724 5413.771 ]
124,[5413.771  5413.8716]
125,[5413.8716 5413.97  ]
126,[5413.97   5414.0703]
127,[5414.0703 5414.1694]
128,[5414.1694 5414.2705]
129,[5414.2705 5414.369 ]
130,[5414.369 5414.47 ]
131,[5414.47  5414.569]
132,[5414.569  5414.6694]
133,[5414.6694 5414.7686]
134,[5414.7686 5414.868 ]
135,[5414.868  5414.9673]
136,[5414.9673 5415.068 ]
137,[5415.068 5415.167]
138,[5415.167 5415.267]
139,[5415.267  5415.3667]
140,[5415.3667 5415.467 ]
141,[5415.467 5415.566]
142,[5415.566 5415.666]
143,[5415.666 5415.765]
144,[5415.765 5415.865]
145,[5415.865  5415.9644]
146,[5415.9644 5416.065 ]
147,[5416.065 5416.164]
