index,timestamp_[single_orbbec],timestamp_[zarr_timestamp],
0,1749817706.19851,,
1,1749817706.23151,,
2,1749817706.26488,,
3,1749817706.29802,,
4,1749817706.33121,,
5,1749817706.36448,,
6,1749817706.39786,1749817706.39786,0
7,1749817706.43081,1749817706.43081,0
8,1749817706.46452,1749817706.46452,0
9,1749817706.49737,1749817706.49737,0
10,1749817706.54024,1749817706.54024,0
11,1749817706.57419,1749817706.54024,0.0339417457580566
12,1749817706.60207,1749817706.57419,0.0278835296630859
13,1749817706.65241,1749817706.60207,0.0503380298614502
14,1749817706.66358,1749817706.65241,0.0111691951751709
15,1749817706.69681,1749817706.69681,0
16,1749817706.73008,1749817706.73008,0
17,1749817706.76317,1749817706.76317,0
18,1749817706.79632,1749817706.79632,0
19,1749817706.82958,1749817706.82958,0
20,1749817706.86285,1749817706.86285,0
21,1749817706.89603,1749817706.89603,0
22,1749817706.92934,1749817706.92934,0
23,1749817706.96253,1749817706.96253,0
24,1749817706.99574,1749817706.99574,0
25,1749817707.0291,1749817707.0291,0
26,1749817707.0622,1749817707.0622,0
27,1749817707.09552,1749817707.09552,0
28,1749817707.12877,1749817707.12877,0
29,1749817707.16232,1749817707.16232,0
30,1749817707.19536,1749817707.19536,0
31,1749817707.22844,1749817707.22844,0
32,1749817707.2616,1749817707.2616,0
33,1749817707.29494,1749817707.29494,0
34,1749817707.3281,1749817707.3281,0
35,1749817707.36134,1749817707.36134,0
36,1749817707.39456,1749817707.39456,0
37,1749817707.42772,1749817707.42772,0
38,1749817707.46307,1749817707.46307,0
39,1749817707.4945,1749817707.4945,0
40,1749817707.52747,1749817707.52747,0
41,1749817707.56064,1749817707.56064,0
42,1749817707.60367,1749817707.60367,0
43,1749817707.63654,1749817707.60367,0.0328712463378906
44,1749817707.66031,1749817707.63654,0.0237665176391602
45,1749817707.69367,1749817707.69367,0
46,1749817707.73659,1749817707.73659,0
47,1749817707.77249,1749817707.73659,0.0358994007110596
48,1749817707.79514,1749817707.77249,0.0226571559906006
49,1749817707.83754,1749817707.83754,0
50,1749817707.8702,1749817707.83754,0.0326588153839111
51,1749817707.90022,1749817707.8702,0.0300242900848389
52,1749817707.92632,1749817707.90022,0.0260963439941406
53,1749817707.95949,1749817707.95949,0
54,1749817707.99275,1749817707.99275,0
55,1749817708.02601,1749817708.02601,0
56,1749817708.05919,1749817708.05919,0
57,1749817708.09309,1749817708.09309,0
58,1749817708.12562,1749817708.12562,0
59,1749817708.15874,1749817708.15874,0
60,1749817708.19203,1749817708.19203,0
61,1749817708.22542,1749817708.22542,0
62,1749817708.25849,1749817708.25849,0
63,1749817708.29173,1749817708.29173,0
64,1749817708.32502,1749817708.32502,0
65,1749817708.3584,1749817708.3584,0
66,1749817708.39151,1749817708.39151,0
67,1749817708.42484,1749817708.42484,0
68,1749817708.45792,1749817708.45792,0
69,1749817708.4912,1749817708.4912,0
70,1749817708.5245,1749817708.5245,0
71,1749817708.55763,1749817708.55763,0
72,1749817708.59081,1749817708.59081,0
73,1749817708.62427,1749817708.62427,0
74,1749817708.65731,1749817708.65731,0
75,1749817708.69061,1749817708.69061,0
76,1749817708.72379,1749817708.72379,0
77,1749817708.75753,1749817708.75753,0
78,1749817708.79024,1749817708.79024,0
79,1749817708.82361,1749817708.82361,0
80,1749817708.85667,1749817708.85667,0
81,1749817708.88989,1749817708.88989,0
82,1749817708.93337,1749817708.93337,0
83,1749817708.96585,1749817708.93337,0.0324816703796387
84,1749817708.99949,1749817708.96585,0.0336413383483887
85,1749817709.02406,1749817708.99949,0.024573802947998
86,1749817709.05686,1749817709.05686,0
87,1749817709.0899,1749817709.0899,0
88,1749817709.12263,1749817709.12263,0
